product_id,product_position,promotion,seasonal,sales_volume,url,sku,name,description,price,terms,section
185102,Aisle,No,No,2823,https://www.zara.com/us/en/basic-puffer-jacket-p06985450.html,272145190-250-2,BASIC PUFFER JACKET,Puffer jacket made of tear-resistant ripstop fabric. High collar and adjustable long sleeves with adhesive straps. Welt pockets at hip. Adjustable hem with side elastics. Front zip closure.,19.99,jackets,MAN
188771,Aisle,No,No,654,https://www.zara.com/us/en/tuxedo-jacket-p08896675.html,324052738-800-46,TUXEDO JACKET,Straight fit blazer. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip and interior pocket. Central back vent at hem. Front button closure.,169.0,jackets,MAN
180176,End-cap,Yes,Yes,2220,https://www.zara.com/us/en/slim-fit-suit-jacket-p01564520.html,335342680-800-44,SLIM FIT SUIT JACKET,Slim fit jacket. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129.0,jackets,MAN
112917,Aisle,Yes,Yes,1568,https://www.zara.com/us/en/stretch-suit-jacket-p01564300.html,328303236-420-44,STRETCH SUIT JACKET,Slim fit jacket made of viscose blend fabric. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129.0,jackets,MAN
192936,End-cap,No,Yes,2942,https://www.zara.com/us/en/double-faced-jacket-p08281477.html,312368260-800-2,DOUBLE FACED JACKET,Jacket made of faux leather faux shearling with fleece interior. Tabbed lapel collar. Long sleeves. Zip pockets at hip. Front zip closure.,139.0,jackets,MAN
117590,End-cap,No,No,2968,https://www.zara.com/us/en/contrasting-collar-jacket-p06987331.html,320298385-807-2,CONTRASTING COLLAR JACKET,Relaxed fit jacket. Contrasting lapel collar and long sleeves with buttoned cuffs. Front pouch pockets. Interior pocket. Washed effect. Front zip closure.,79.9,jackets,MAN
189118,Front of Store,Yes,Yes,952,https://www.zara.com/us/en/faux-leather-puffer-jacket-p08281420.html,278112470-800-2,FAUX LEATHER PUFFER JACKET,Faux leather puffer jacket. High collar and long sleeves with ribbed interior cuffs. Welt pockets at hip. Interior pocket. Adjustable hem with side elastics. Front zip closure.,69.99,jackets,MAN
182157,Aisle,No,No,2421,https://www.zara.com/us/en/suit-jacket-in-100-linen-p04307408.html,322972485-431-46,SUIT JACKET IN 100% LINEN,Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,159.0,jackets,MAN
141861,Aisle,Yes,Yes,1916,https://www.zara.com/us/en/100-wool-suit-jacket-p05955218.html,313854165-401-46,100% WOOL SUIT JACKET,Jacket made of Italian wool. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,169.0,jackets,MAN
137121,Aisle,No,Yes,656,https://www.zara.com/us/en/100-feather-fill-puffer-jacket-p04302305.html,312372602-800-2,100% FEATHER FILL PUFFER JACKET,Puffer jacket made of shiny finish technical fabric. Fill is a blend of 80% down and 20% feathers. High collar with adjustable hood and long sleeves with elastic cuffs. Welt pockets at hip and interior pocket. Adjustable hem with side elastics. Front zip closure.,169.0,jackets,MAN
